Id,Title,Abstract,Prerequisites,Level,Year,PresentationUrl,CodeUrl,StartTime,Track_Id,Track_Id1,Speaker_Id,Category,Audience,SurveyUrl,SpeakerDeckUrl,SpeakerRateUrl,Timestamp,Room
2548,Cross Platform Mobile Game Development,"Cocos2d-x is the C++ port of arguably the most popular open source 2D framework in the world. Its predecessor was limited to the Apple family but with Cocos2d-x you can take your applications to all major app stores, with minimum extra work. Give your games a larger target audience with almost no extra hassle. <br/>This session will go through and set up a project that compiles on both ios and android.  In addition to creating scenes and access the device hardware to build a great game.","Working knowlege of C++, Objective C, or Java.",100,2013,,https://github.com/cajun-code/SpaceCase ,10:10am,,1660,3114,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20131101,https://speakerdeck.com/alley/cross-platform-mobile-game-development ,http://speakerrate.com/talks/25291-cross-platform-mobile-game-development ,1/1/1900 0:00,
2549,Intro to TDD and Coding Katas,"This isn't a presentation. Rather, this is a demonstration and explanation of Test Driven Development and Coding Katas. This demo will be useful to all roles: managers, testers, and product managers will gain an understanding of and appreciation for this important technique; developers who aren't test-driving will learn how to start.",None,300,2013,,,1:30pm,,1661,3115,General Discussion,,https://www.surveymonkey.com/s/ATLCC20131513,,,1/1/1900 0:00,
2550,"SOA Governance and API management for Microsoft on-premises, cloud and hybrid solutions","Managing common SOA and API infrastructural challenges is complicated, and managing them is not part of organizations' core business. Providing SOA SOAP services and RESTful APIs with design-time governance and run-time automated management, and with agility to adapt for continued changes is even more challenging. In his presentation, Andrew Slivker, will provide an overview of the common SOA challenges, and describe how they can be effectively addressed through the services virtualization concepts. The presentation will focus on SOA and API solutions that leverage Web API, WCF, and BizTalk 2013 server with SOAP and REST Adapters. The demonstration will include on-premises, Windows Azure and hybrid scenarios.",".NET Framework, WCF, REST,",200,2013,,,11:20am,,1656,3116,IT Topics,,https://www.surveymonkey.com/s/ATLCC20131012,,,1/1/1900 0:00,
2551,Dynamics CRM as a Development Platform,"When many people hear of Dynamics CRM, a static, rigid application focused around a very specific use case comes to mind. Over the years, Dynamics CRM has morphed quite a bit, turning itself from CRM to xRM. <br/>Dynamics is highly configurable and just about any data entry application can be built with it, but it's much more. It is meant to be extended with .NET, WCF, Workflow Foundation, Silverlight (and ASP.NET) and Javascript. You can model entities in minutes instead of hours or days and you can build fully functional forms in minutes. But used as a platform, it gives you much more. Without writing a single line of code you have a security model so granular, you can restrict and grant access down to the attribute level. You have an out of the box Workflow engine complete with a fairly powerful UI Based Workflow Designer. Forms can be build and modified by anyone that can drag and drop controls. There is a rich reporting infrastructure based on SSRS complete with a designer that lets you build sophisticated reports with ease. These reports can be easily incorporated into very impressive customized dashboards that provide a 360 degree view of an organization, tailored to individuals, groups, teams, business units or the organization as a whole.<br/>If you know .NET and Javascript, learning the API is very simple matter and coupled with the existing toolset CRM provides out of the box, CRM makes a superb platform for a very wide variety of projects",None,100,2013,,,3:50pm,,1657,3117,IT Topics,,https://www.surveymonkey.com/s/ATLCC20131085,,,1/1/1900 0:00,
2552,Leveraging Windows Azure Mobile Services in your Windows 8 Apps,"Windows Azure Mobile Services is Microsoft?s fastest growing aspect of the Azure platform. This great feature allows developers to quickly enhance their applications with cloud-based services, as well as easily add authentication and a data backend infrastructure. In this session Bryan will cover Windows Azure Mobile Services and show real-world examples of how to leverage this functionality within your Windows 8 apps.",".NET, Windows Azure, Windows 8",200,2013,,,11:20am,,1652,3119,Mobile Development,,https://www.surveymonkey.com/s/ATLCC20132012,,,1/1/1900 0:00,
2553,Let the Computer Do the Work,"Let the computer do the work. Use modern site generators to automate the tasks of developing web sites so you can focus on what's important and fun: content and semantics, style and function. Learn about what modern tools are available and how they can help you. Chad will share his experiences with a variety of generators and discuss how to pick which tools best suit your needs. He'll follow with a demo showing how to setup a boilerplate project, build templates, add and style content, test locally and publish to the web.","Basic web dev skills required including HTML, CSS and basic publishing skills (FTP, SSH, etc). Javascript nice but not necessary.",100,2013,,,2:40pm,,1656,3120,Web Development,,https://www.surveymonkey.com/s/ATLCC20131014,,,1/1/1900 0:00,
2554,User Experience: A Beginner's Guide,"Have you ever said any of the following while doing a task: ""No, that's not what I meant!"", ""I didn't mean to press that!"", ""I can't even read this.""? User Experience is not just a modern software concept. Words like ergonomics, aesthetics, feel, and functionality have been used as descriptors of products in many different form factors. Today, as programmers, managers, and product owners we have the task of creating two-dimensional user experiences with touch screens, keyboards, mice, motion controls, lasers, and many other peripherals. We must design appealing, practical, intuitive interfaces that increase productivity, improve moods, and save money.",None.,100,2013,,,10:10am,,1655,3121,Design/UX,,https://www.surveymonkey.com/s/ATLCC20131331,,,1/1/1900 0:00,
2555,JavaScript: What you might be missing,"Everyone has used JavaScript, but have you really pushed your JS knowledge to the limits? In this discussion we are going to analyze JavaScript (ECMAScript5) as a prototyping language and what that means to developers. We will also learn about object design, advanced iteration, DOM Manipulation, event handling, and asynchronous callbacks. We will finish by creating a one-page site that consumes JSON data from web services via asynchronous callbacks. This is not a discussion about JavaScript Frameworks such as jQuery (nothing against jQuery), this discussion will only include pure JavaScript with no plugins.",HTML/HTML5; Entry-Level Understanding of Programming Languages; Web Technology,100,2013,,,1:30pm,,1652,3122,Web Development,,https://www.surveymonkey.com/s/ATLCC20132013,,,1/1/1900 0:00,
2556,Continuous Integration with HTML5: Why Bother?,"Over that time we developed a continuous integration (CI) server and process for the client and services development team. On check in, our code is built, tested, and deployed to QA. Because of this process we never rolled back a release and QA went from pulling builds once a week to now pulling in multiple builds a day. Improving the application overall and delivering changes and fixes faster to production.","Front end development (HTML/JS/CSS), Frustation with deployments, While it will be HTML5/JS focused the overall talk will also focus on how to do CI for all languages correctly, so any developers can attend and learn something.",100,2013,,,1:30pm,,1658,3123,Web Development,,https://www.surveymonkey.com/s/ATLCC20131093,,,1/1/1900 0:00,
2557,Getting Started with MongoDB using C#,This session is an introduction to working with MongoDB using 10gen's C# driver for .NET. The emphasis will be primarily on the development-side as we explore how to stand up a simple data store and perform basic CRUD type operations as well as a few advanced topics based on audience feedback. Additionally time will be spent addressing typical use-case scenarios for where best to use MongoDB or when a relational database would actually be a better fit.,".NET framework and specifically the C# language.  At least worked with one relational database of some kind (SQL Server, Oracle, MySql, FoxPro, MS Access, etc.)",100,2013,,,11:20am,,1660,3124,Database Development,,https://www.surveymonkey.com/s/ATLCC20131102,,,1/1/1900 0:00,
2558,"And now, the REST of the story: Using ASP.NET Web API to create RESTful services","RESTful API?s can be a powerful way to expose data and services to a broad range of platforms, but just what does it mean to be ""RESTful""? What?s the rest of the story on why REST is an important concept for developers building services in today?s world? This talk introduces you to the REST architectural style and looks at what it means to be a truly ""RESTful service"". I?ll show you concrete examples of using the ASP.NET Web API framework to create simple RESTful services quickly, as well ways to address issues that - while not specifically addressed by REST - are real-world problems that you will encounter when building RESTful services.",,200,2013,,,2:40pm,,1661,3125,Web Development,,https://www.surveymonkey.com/s/ATLCC20131514,,,1/1/1900 0:00,
2559,The Modern Web Workflow: The Acronym Inundation Edition,"My how the daily web developers workflow has changed! Not only has the tool set grown in richness, diversity has struct and left us with a plethora of tools to do our daily jobs. Stop by and hear me cover the gamut of these tools from SublimeText to WebStorm, Yeoman, CodeKit, npm, and the like. You want LESS or SASS with that? We will even try to Grunt with a straight face! Bower who? Drop in as I describe and introduce some of these new tools you should include in your daily work flow.",The audience should be familiar with HTML and CSS basics,100,2013,,https://github.com/douglasknudsen/atlcodecamp2013,10:10am,,1652,3127,Web Development,,https://www.surveymonkey.com/s/ATLCC20132011,https://speakerdeck.com/douglasknudsen/the-modern-web-workflow-the-acronym-inundation-edition,,1/1/1900 0:00,
